Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,7.622920649,4.18200163,-0.944953481,1.110504599,7.293728071,-0.383137672,1.127411464,3.089544385,1.835755172,-11.67774137,-2.733456793,3.369237184,-1.040799884,6.431482604,-1.586575138,-0.623625902,1.71962498,7.048533386,2.381730186,-2.302836303,-23.98258096,27.63935697,10.45831735,
AFE,3.219802994,3.510146739,3.841646362,2.963405156,5.557363528,6.164835859,6.5775942,6.646593491,4.371097572,0.880331358,5.233777972,4.069019771,1.756210204,4.250345099,3.983181784,3.011571982,2.183580781,2.651399742,2.681718104,2.189259284,-2.780378552,4.497379983,3.554422329,2.622310407
AFG,,-9.431974068,28.60000116,8.832277803,1.414117993,11.22971483,5.357403247,13.82631955,3.92498382,21.39052839,14.36244147,0.426354777,12.75228709,5.600744659,2.724543362,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,
AFW,3.859760263,5.209094155,9.927427149,5.532966565,7.992698604,5.828940032,5.374761558,5.522718727,6.281465308,6.282102398,6.970600619,4.849289011,5.135432218,6.106610282,5.92558282,2.813979007,0.141488618,2.28496137,2.842645003,3.222028518,-1.004417394,3.994854397,3.784485678,3.342775594
AGO,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580111222,-0.147149825,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.04540301,0.856000935
ALB,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.087711996,-3.302082039,8.908527818,4.856401652,3.439149499
AND,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.287199781,9.563797527,1.444184231
ARB,6.598100731,1.67856914,0.66659276,4.8710045,8.872880802,5.466559184,6.165782658,4.494993727,5.550755074,0.409202169,4.81457027,3.572876912,5.003580087,2.520007657,2.383705442,3.387560307,3.609446551,1.511283907,2.623157037,1.671110889,-5.400979217,5.116647029,5.793108985,0.92979198
ARE,10.85270422,1.399085037,2.433456811,8.800540814,9.566436638,4.855141196,9.837319769,3.184390173,3.191836273,-5.242921904,1.602850047,6.216121817,1.824480785,5.055559658,4.165691841,6.786772877,5.56149076,0.735068714,1.313913882,1.108348135,-4.957052433,4.354755297,7.850418123,3.403857206
ARG,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.71800993,4.95636996,-1.550501536
ARM,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.800000001,12.6,8.7
ASM,,,,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,4.411764706,-0.782472613,1.735015773,
ATG,6.203491677,-4.548068042,1.027224987,6.076895997,5.766735432,6.473917198,12.70801253,9.31533051,-0.014006447,-11.96296608,-7.840430063,-1.958721811,3.372835252,-0.600715512,2.211452513,1.445155299,4.099765539,2.463333366,6.953186092,3.10044515,-18.8803992,8.191718462,9.516395644,3.862012187
AUS,3.921517829,2.025127315,3.979633756,3.090687182,4.224321727,3.154139257,2.755298243,3.773392681,3.58622798,1.892573609,2.226538078,2.40897178,3.918409625,2.606198447,2.607401032,2.201810153,2.779142625,2.318709387,2.906363115,2.181109106,-0.334686359,2.111830889,4.268946393,3.016988104
AUT,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.258572433,2.425385361,1.450529184,-6.632991437,4.237866733,4.806430202,-0.828815089
